Unique ID ,Parent,Name,Tier 1,Tier 2
1,,Automotive,Automotive,
2,1,Auto Body Styles,Automotive,Auto Body Styles
3,2,Commercial Trucks,Automotive,Auto Body Styles
4,2,Sedan,Automotive,Auto Body Styles
5,2,Station Wagon,Automotive,Auto Body Styles
6,2,SUV,Automotive,Auto Body Styles
7,2,Van,Automotive,Auto Body Styles
8,2,Convertible,Automotive,Auto Body Styles
9,2,Coupe,Automotive,Auto Body Styles
10,2,Crossover,Automotive,Auto Body Styles
11,2,Hatchback,Automotive,Auto Body Styles
12,2,Microcar,Automotive,Auto Body Styles
13,2,Minivan,Automotive,Auto Body Styles
14,2,Off-Road Vehicles,Automotive,Auto Body Styles
15,2,Pickup Trucks,Automotive,Auto Body Styles
16,1,Auto Type,Automotive,Auto Type
17,16,Budget Cars,Automotive,Auto Type
18,16,Certified Pre-Owned Cars,Automotive,Auto Type
19,16,Classic Cars,Automotive,Auto Type
20,16,Concept Cars,Automotive,Auto Type
21,16,Driverless Cars,Automotive,Auto Type
22,16,Green Vehicles,Automotive,Auto Type
23,16,Luxury Cars,Automotive,Auto Type
24,16,Performance Cars,Automotive,Auto Type
25,1,Car Culture,Automotive,Car Culture
26,1,Dash Cam Videos,Automotive,Dash Cam Videos
27,1,Motorcycles,Automotive,Motorcycles
28,1,Road-Side Assistance,Automotive,Road-Side Assistance
29,1,Scooters,Automotive,Scooters
30,1,Auto Buying and Selling,Automotive,Auto Buying and Selling
31,1,Auto Insurance,Automotive,Auto Insurance
32,1,Auto Parts,Automotive,Auto Parts
33,1,Auto Recalls,Automotive,Auto Recalls
34,1,Auto Repair,Automotive,Auto Repair
35,1,Auto Safety,Automotive,Auto Safety
36,1,Auto Shows,Automotive,Auto Shows
37,1,Auto Technology,Automotive,Auto Technology
38,37,Auto Infotainment Technologies,Automotive,Auto Technology
39,37,Auto Navigation Systems,Automotive,Auto Technology
40,37,Auto Safety Technologies,Automotive,Auto Technology
41,1,Auto Rentals,Automotive,Auto Rentals
42,,Books and Literature,Books and Literature,
43,42,Art and Photography Books,Books and Literature,Art and Photography Books
44,42,Biographies,Books and Literature,Biographies
45,42,Children's Literature,Books and Literature,Children's Literature
46,42,Comics and Graphic Novels,Books and Literature,Comics and Graphic Novels
47,42,Cookbooks,Books and Literature,Cookbooks
48,42,Fiction,Books and Literature,Fiction
49,42,Poetry,Books and Literature,Poetry
50,42,Travel Books,Books and Literature,Travel Books
51,42,Young Adult Literature,Books and Literature,Young Adult Literature
52,,Business and Finance,Business and Finance,
53,52,Business,Business and Finance,Business
54,53,Business Accounting & Finance,Business and Finance,Business
55,53,Human Resources,Business and Finance,Business
56,53,Large Business,Business and Finance,Business
57,53,Logistics,Business and Finance,Business
58,53,Marketing and Advertising,Business and Finance,Business
59,53,Sales,Business and Finance,Business
60,53,Small and Medium-sized Business,Business and Finance,Business
61,53,Startups,Business and Finance,Business
62,53,Business Administration,Business and Finance,Business
63,53,Business Banking & Finance,Business and Finance,Business
64,63,Angel Investment,Business and Finance,Business
65,63,Bankruptcy,Business and Finance,Business
66,63,Business Loans,Business and Finance,Business
67,63,Debt Factoring & Invoice Discounting,Business and Finance,Business
68,63,Mergers and Acquisitions,Business and Finance,Business
69,63,Private Equity,Business and Finance,Business
70,63,Sale & Lease Back,Business and Finance,Business
71,63,Venture Capital,Business and Finance,Business
72,53,Business I.T.,Business and Finance,Business
73,53,Business Operations,Business and Finance,Business
74,53,Consumer Issues,Business and Finance,Business
75,74,Recalls,Business and Finance,Business
76,53,Executive Leadership & Management,Business and Finance,Business
77,53,Government Business,Business and Finance,Business
78,53,Green Solutions,Business and Finance,Business
79,53,Business Utilities,Business and Finance,Business
80,52,Economy,Business and Finance,Economy
81,80,Commodities,Business and Finance,Economy
82,80,Currencies,Business and Finance,Economy
83,80,Financial Crisis,Business and Finance,Economy
84,80,Financial Reform,Business and Finance,Economy
85,80,Financial Regulation,Business and Finance,Economy
86,80,Gasoline Prices,Business and Finance,Economy
87,80,Housing Market,Business and Finance,Economy
88,80,Interest Rates,Business and Finance,Economy
89,80,Job Market,Business and Finance,Economy
90,52,Industries,Business and Finance,Industries
91,90,Advertising Industry,Business and Finance,Industries
92,90,Education industry,Business and Finance,Industries
93,90,Entertainment Industry,Business and Finance,Industries
94,90,Environmental Services Industry,Business and Finance,Industries
95,90,Financial Industry,Business and Finance,Industries
96,90,Food Industry,Business and Finance,Industries
97,90,Healthcare Industry,Business and Finance,Industries
98,90,Hospitality Industry,Business and Finance,Industries
99,90,Information Services Industry,Business and Finance,Industries
100,90,Legal Services Industry,Business and Finance,Industries
101,90,Logistics and Transportation Industry,Business and Finance,Industries
102,90,Agriculture,Business and Finance,Industries
103,90,Management Consulting Industry,Business and Finance,Industries
104,90,Manufacturing Industry,Business and Finance,Industries
105,90,Mechanical and Industrial Engineering Industry,Business and Finance,Industries
106,90,Media Industry,Business and Finance,Industries
107,90,Metals Industry,Business and Finance,Industries
108,90,Non-Profit Organizations,Business and Finance,Industries
109,90,Pharmaceutical Industry,Business and Finance,Industries
110,90,Power and Energy Industry,Business and Finance,Industries
111,90,Publishing Industry,Business and Finance,Industries
112,90,Real Estate Industry,Business and Finance,Industries
113,90,Apparel Industry,Business and Finance,Industries
114,90,Retail Industry,Business and Finance,Industries
115,90,Technology Industry,Business and Finance,Industries
116,90,Telecommunications Industry,Business and Finance,Industries
117,90,Automotive Industry,Business and Finance,Industries
118,90,Aviation Industry,Business and Finance,Industries
119,90,Biotech and Biomedical Industry,Business and Finance,Industries
120,90,Civil Engineering Industry,Business and Finance,Industries
121,90,Construction Industry,Business and Finance,Industries
122,90,Defense Industry,Business and Finance,Industries
123,,Careers,Careers,
124,123,Apprenticeships,Careers,Apprenticeships
125,123,Career Advice,Careers,Career Advice
126,123,Career Planning,Careers,Career Planning
127,123,Job Search,Careers,Job Search
128,127,Job Fairs,Careers,Job Search
