Business Name,SIC2 Category,SIC4 Category,SIC8 Category,Contact Name,State Code,City,ZIP Code,Address,Phone,Web,Coordinates,Location Type,Market Variable,Annual Revenue,SIC,NAICS,Industry
Smart & Final,Shopping & Stores,Grocery Stores,Food Stores,Eric Hofmeister,CA,Bellflower,90706,15930 Bellflower Boulevard,Not in Sample,smartandfinal.com,"33.88847,-118.12523",Branch,B2C,$5.000.000 to $9.999.999,5411,4451100,Retail Trade
Alicetheclown.com,Travel & Leisure,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",Clowns,,CA,Los Angeles,90028,,Not in Sample,alicetheclown.com,,Single Location,B2C,$100.000 to $499.999,7929,7115100,"Arts, Entertainment, and Recreation"
Standard Development,Real Estate,Real Estate Agents and Managers,Real Estate,,CA,Los Angeles,90015,901 South Broadway,Not in Sample,,"34.042321,-118.256155",Single Location,BOTH,$500.000 to $999.999,6531,5312100,Real Estate and Rental and Leasing
Rodeway Inn-Near Venice Beach,Travel & Leisure,Hotels and Motels,Hotels and Motels,"Sila Patel, Owner",CA,Los Angeles,90066,11933 West Washington Boulevard,Not in Sample,rodewayinn.com,"33.99785,-118.42089",Branch,B2C,$100.000 to $499.999,7011,7211100,Accommodation and Food Services
Oto Development LLC,Professional Services,"Business Consulting Services, NEC",Business Consultants,Michael Gallen,CA,Redondo Beach,90278,1930 Nelson Avenue,Not in Sample,otodevelopment.com,"33.874587,-118.377549",Branch,B2B,Unknown,8748,541618,"Professional, Scientific, and Technical Services"
Cole-Haan Company Store LLC,Shopping & Stores,Shoe Stores,Shoe Stores,Almichael Concordia,CA,Beverly Hills,90210,260 North Rodeo Drive,Not in Sample,colehaan.com,"34.06768,-118.401229",Branch,B2C,Unknown,5661,448210,Retail Trade
Iglesia Cristiana Gethsemane,Associations/Non-Profits,Religious Organizations,Christian and Reformed Church,Ramon A Florimon,CA,Paramount,90723,14613 Orange Avenue,Not in Sample,,"33.9008,-118.17759",Single Location,B2C,Unknown,8661,8131100,Other Services (except Public Administration)
Vriksha LLC,Computer Software,Computer Programming Services,Computer Services,Vijay Sukumar,CA,Altadena,91001,2400 Lincoln Avenue # 217,Not in Sample,vrikshallc.com,"34.187012,-118.159554",Single Location,BOTH,$100.000 to $499.999,7371,541511,"Professional, Scientific, and Technical Services"
Solutions,Healthcare,Offices and Clinics of Doctors of Medicine,Internal Medicine Doctors,Richard Paliani,CA,Marina Del Rey,90292,4712 Admiralty Way,Not in Sample,,"33.979514,-118.439688",Single Location,B2C,$100.000 to $499.999,8011,621111,Health Care and Social Assistance
Hoffner Richard MD,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,Richard Hoffner,CA,Marina Del Rey,90292,4650 Lincoln Boulevard,Not in Sample,marinahospital.com,"33.98156,-118.43993",Single Location,B2C,$500.000 to $999.999,8011,6211110,Health Care and Social Assistance
Juan Bravo Drywalls,Building & Construction,"Plastering, Drywall, Acoustical, and Insulation Work",Dry Wall Contractors,Juan Braville,CA,Norwalk,90650,14815 Flatbush Avenue,Not in Sample,,"33.895955,-118.106694",Single Location,B2B,$100.000 to $499.999,1742,238310,Construction
Gardner Automotive Comms Inc,Professional Services,Management Consulting Services,Marketing Programs and Services,"Dan Gardner, President",CA,Redondo Beach,90277,553 North Pacific Coast Highway,Not in Sample,gardnerautocomm.com,"33.831502,-118.384934",Single Location,B2B,$500.000 to $999.999,8742,5416130,"Professional, Scientific, and Technical Services"
Drw Inc,Building & Construction,"Special Trade Contractors, NEC",Contractors,Scott Gerber,CA,Gardena,90249,1734 West 139th St,Not in Sample,,"33.905413,-118.308975",Single Location,B2B,$100.000 to $499.999,1799,238990,Construction
Girls & Boys Town,Associations/Non-Profits,Individual and Family Social Services,Youth Organizations and Centers,,CA,Compton,90220,15116 South Gibson Avenue East,Not in Sample,,"33.88546,-118.2345",Single Location,B2C,Unknown,8322,6241100,Health Care and Social Assistance
Ultimate Fitness Center,Healthcare,Offices and Clinics of Doctors of Medicine,Clinics,,CA,Torrance,90501,1311 West 228th St.,Not in Sample,,,Single Location,B2C,$100.000 to $499.999,8011,621111,Health Care and Social Assistance
Elite Model Management Inc,Printing & Publishing,Help Supply Services,Modeling Agencies,"Philippe Pozach, Manager",CA,Beverly Hills,90210,345 North Maple Drive # 176,Not in Sample,elitemodel.com,"34.073943,-118.39356",Single Location,B2B,$100.000 to $499.999,7363,5613300,Administrative and Support and Waste Management and Remediation Services
Grand New Bargain,Shopping & Stores,"Miscellaneous Retail Stores, NEC",Miscellaneous Retail Stores (Unclassified),,CA,Los Angeles,90032,4760 Templeton St,Not in Sample,,,Single Location,B2C,$50.000 to $99.999,5999,453998,Retail Trade
House of Spirits,Shopping & Stores,Liquor Stores,Liquor Stores,James Wu,CA,Los Angeles,90026,1314 Echo Park Avenue,Not in Sample,houseofspiritsliquor.com,"34.0774,-118.25689",Single Location,B2C,$500.000 to $999.999,5921,4453100,Retail Trade
Sepi's Giant Submarines,Restaurants & Bars,Restaurants,Sandwiches,Jay Wong,CA,Los Angeles,90024,10968 Le Conte Avenue,Not in Sample,sepiswestwood.com,"34.06357,-118.44783",Single Location,B2C,$100.000 to $499.999,5812,7225111,Accommodation and Food Services
Store Fixtures Specialist,Shopping & Stores,Furniture Stores,Customized Furniture and Cabinets,Adeline Kedn,CA,Artesia,90701,17023 Roseton Avenue,Not in Sample,,,Single Location,B2C,$100.000 to $499.999,5712,337110,Manufacturing
Magno Realty Group,Real Estate,Real Estate Agents and Managers,Real Estate,Robert Silverman,CA,Los Angeles,90067,1901 Avenue Of The Stars 2nd Floor,Not in Sample,magnorealtygroup.com,"34.05962,-118.41692",Headquarters,BOTH,$1.000.000 to $2.499.999,,,
Local Net,Building & Construction,Concrete Work,Concrete Contractors,,CA,Long Beach,90805,,Not in Sample,localnet.com,,Branch,B2B,$1.000.000 to $2.499.999,1771,5182101,Information
Millennium Dental Technologies,Medical Equipment & Device,Dental Equipment and Supplies,Dental Equipment Manufacturers,"Michael Minailo, Owner",CA,Cerritos,90703,20130 State Road,Not in Sample,lanap.com,"33.84713,-118.09495",Single Location,B2B,$1.000.000 to $2.499.999,3843,3391140,Manufacturing
